paper_id	round	title	val_acc	val_auc	val_f1	peak_vram_gb	status	budget	source_doc	reproduction_level	description	config_path	summary_path
C2	round1	MedpSeg + snapshot ResNet18	0.670212765957447	0.812045454545455	0.725663716814159	0.8	discard	proxy	docs/C_papers_ankle_ct_architecture_comparison.md	task_adapted	C2 ROI snapshots + ResNet18	/dataset/HH/ankle-ct/paper_repro/configs/c2_snapshot_multiview.yaml	/dataset/HH/ankle-ct/runs/paper_repro/c2_snapshot_multiview/summary.json
C3	round1	MMIDFNet decision fusion	0.755319148936170	0.849090909090909	0.684931506849315	0.5	keep	proxy	docs/C_papers_ankle_ct_architecture_comparison.md	task_adapted	C3 expert branches + decision fusion	/dataset/HH/ankle-ct/paper_repro/configs/c3_decision_fusion.yaml	/dataset/HH/ankle-ct/runs/paper_repro/c3_decision_fusion/summary.json
D2	round1	tri-plane hybrid	0.680851063829787	0.750227272727273	0.583333333333333	1.0	discard	proxy	docs/D_papers_architecture_comparison_ankle_CT.md	task_adapted	D2 tri-plane CNN + handcrafted features	/dataset/HH/ankle-ct/paper_repro/configs/d2_triplane_hybrid.yaml	/dataset/HH/ankle-ct/runs/paper_repro/d2_triplane_hybrid/summary.json
