paper_id	round	title	val_acc	val_auc	val_f1	peak_vram_gb	status	budget	source_doc	reproduction_level	description	config_path	summary_path
R1	round3	FracNet-style dense anomaly aggregation	0.563829787234043	0.795000000000000	0.666666666666667	0.3	discard	proxy	docs/R_papers_ankle_ct_binary_comparison.md	task_adapted	R1 3D U-Net top-k dense anomaly aggregation	/dataset/HH/ankle-ct/paper_repro/configs/r1_fracnet_weak.yaml	/dataset/HH/ankle-ct/runs/paper_repro/r1_fracnet_weak/summary.json
R4	round3	nnU-Net-style dense vote	0.744680851063830	0.823181818181818	0.657142857142857	0.3	discard	proxy	docs/R_papers_ankle_ct_binary_comparison.md	task_adapted	R4 3D dense vote / majority aggregation	/dataset/HH/ankle-ct/paper_repro/configs/r4_dense_vote.yaml	/dataset/HH/ankle-ct/runs/paper_repro/r4_dense_vote/summary.json
D4	round3	2.5D plus 3D ensemble	0.851063829787234	0.930909090909091	0.815789473684211	3.4	keep	proxy	docs/D_papers_architecture_comparison_ankle_CT.md	task_adapted	D4 2.5D and 3D ensemble	/dataset/HH/ankle-ct/paper_repro/configs/d4_hybrid_25d_3d.yaml	/dataset/HH/ankle-ct/runs/paper_repro/d4_hybrid_25d_3d/summary.json
