paper_id	round	title	val_acc	val_auc	val_f1	peak_vram_gb	status	budget	source_doc	reproduction_level	description	config_path	summary_path
S2	round2	SE-ResNet50 classifier	0.734042553191489	0.824318181818182	0.725274725274725	7.9	discard	proxy	docs/s_papers_architecture_review.md	task_adapted	S2 SE-ResNet50 trip-view classifier	/dataset/HH/ankle-ct/paper_repro/configs/s2_se_resnet50.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s2_se_resnet50/summary.json
D1	round2	2.5D MIL	0.755319148936170	0.832272727272727	0.676056338028169	2.0	keep	proxy	docs/D_papers_architecture_comparison_ankle_CT.md	task_adapted	D1 2.5D bag-level attention MIL	/dataset/HH/ankle-ct/paper_repro/configs/d1_mil_25d.yaml	/dataset/HH/ankle-ct/runs/paper_repro/d1_mil_25d/summary.json
S4	round2	CNN-LSTM sequence classifier	0.712765957446808	0.797954545454545	0.674698795180723	1.9	discard	proxy	docs/s_papers_architecture_review.md	task_adapted	S4 sequence CNN-LSTM	/dataset/HH/ankle-ct/paper_repro/configs/s4_cnn_lstm.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s4_cnn_lstm/summary.json
