paper_id	round	title	val_acc	val_auc	val_f1	peak_vram_gb	status	budget	source_doc	reproduction_level	description	config_path	summary_path
C1	round4	XFMamba multi-view classification	0.702127659574468	0.845454545454545	0.548387096774194	1.9	discard	proxy	docs/C_papers_ankle_ct_architecture_comparison.md	task_adapted	C1 XFMamba-lite cross-view fusion baseline	/dataset/HH/ankle-ct/paper_repro/configs/c1_xfmamba_lite.yaml	/dataset/HH/ankle-ct/runs/paper_repro/c1_xfmamba_lite/summary.json
S1	round4	3D EfficientNet-like classifier	0.808510638297872	0.905909090909091	0.763157894736842	2.2	keep	proxy	docs/s_papers_architecture_review.md	task_adapted	S1 3D EfficientNet-like tri-view classifier	/dataset/HH/ankle-ct/paper_repro/configs/s1_3d_efficient.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s1_3d_efficient/summary.json
S3	round4	anatomy-aware prototype classifier	0.680851063829787	0.779318181818182	0.680851063829787	0.4	discard	proxy	docs/s_papers_architecture_review.md	task_adapted	S3 anatomy-aware prototype head	/dataset/HH/ankle-ct/paper_repro/configs/s3_anatomy_prototype.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s3_anatomy_prototype/summary.json
